"State Abbreviation","State Name","Reporting Period","State Expanded Medicaid","Preliminary or Updated","Final Report","New Applications Submitted to Medicaid and CHIP Agencies","New Applications Submitted to Medicaid and CHIP Agencies - footnotes","Applications for Financial Assistance Submitted to the State Based Marketplace","Applications for Financial Assistance Submitted to the State Based Marketplace - footnotes","Total Applications for Financial Assistance Submitted at State Level","Total Applications for Financial Assistance Submitted at State Level - footnotes","Individuals Determined Eligible for Medicaid at Application","Individuals Determined Eligible for Medicaid at Application - footnotes","Individuals Determined Eligible for CHIP at Application","Individuals Determined Eligible for CHIP at Application - footnotes","Total Medicaid and CHIP Determinations","Total Medicaid and CHIP Determinations - footnotes","Medicaid and CHIP Child Enrollment","Medicaid and CHIP Child Enrollment - footnotes","Total Medicaid and CHIP Enrollment","Total Medicaid and CHIP Enrollment - footnotes","Total Medicaid Enrollment","Total Medicaid Enrollment - footnotes","Total CHIP Enrollment","Total CHIP Enrollment - footnotes","Total Adult Medicaid Enrollment","Total Adult Medicaid Enrollment - footnotes","Total Medicaid and CHIP Determinations Processed in Less than 24 Hours","Total Medicaid and CHIP Determinations Processed in Less than 24 Hours - footnotes","Total Medicaid and CHIP Determinations Processed Between 24 Hours and 7 Days","Total Medicaid and CHIP Determinations Processed Between 24 Hours and 7 Days - footnotes","Total Medicaid and CHIP Determinations Processed Between 8 Days and 30 Days","Total Medicaid and CHIP Determinations Processed Between 8 Days and 30 Days - footnotes","Total Medicaid and CHIP Determinations Processed between 31 days and 45 days","Total Medicaid and CHIP Determinations Processed between 31 days and 45 days - footnotes","Total Medicaid and CHIP Determinations Processed in More than 45 Days","Total Medicaid and CHIP Determinations Processed in More than 45 Days - footnotes","Total Call Center Volume (Number of Calls)","Total Call Center Volume (Number of Calls) - footnotes","Average Call Center Wait Time (Minutes)","Average Call Center Wait Time (Minutes) - footnotes","Average Call Center Abandonment Rate","Average Call Center Abandonment Rate - footnotes"
IL,Illinois,202305,Y,P,N,47130,,0,,47130,,21411,,2003,,23414,,1580563,,3843425,,3496905,,346520,,,,7848,,8031,,5418,,668,,718,,138331,"Does not include all calls received after business hours",12,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.341,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202305,Y,U,Y,47130,,0,,47130,,21411,,2003,,23414,,1584559,,3851907,,3505416,,346491,,,,7848,,8031,,5418,,668,,718,,138331,"Does not include all calls received after business hours",12,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.341,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202306,Y,P,N,51101,,0,,51101,,21520,,1967,,23487,,1584660,,3857818,,3510969,,346849,,,,8041,,8298,,6145,,775,,738,,149505,"Does not include all calls received after business hours",13,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.419,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202306,Y,U,Y,51101,,0,,51101,,21520,,1967,,23487,,1588377,,3866234,,3518864,,347370,,,,8041,,8298,,6145,,775,,738,,149505,"Does not include all calls received after business hours",13,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.419,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202307,Y,P,N,49147,,0,,49147,,21434,,1994,,23428,,1587203,,3863904,,3512728,,351176,,,,7565,,7320,,6887,,1238,,1005,,159272,"Does not include all calls received after business hours",16,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.434,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202307,Y,U,Y,49147,,0,,49147,,21434,,1994,,23428,,1591271,,3872945,,3521298,,351647,,,,7565,,7320,,6887,,1238,,1005,,159272,"Does not include all calls received after business hours",16,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.434,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202308,Y,P,N,57687,,0,,57687,,25189,,2253,,27442,,1579529,,3837155,,3481754,,355401,,,,7082,,8570,,8859,,1781,,1461,,320835,"Does not include all calls received after business hours",17,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.274,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202308,Y,U,Y,57687,,0,,57687,,25189,,2253,,27442,,1584024,,3846699,,3490346,,356353,,,,7082,,8570,,8859,,1781,,1461,,320835,"Does not include all calls received after business hours",17,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.274,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202309,Y,P,N,54162,,0,,54162,,26692,,2659,,29351,,1558088,,3781953,,3423421,,358532,,,,8028,,7806,,8621,,2488,,2669,,274185,"Does not include all calls received after business hours",22,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.329,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202309,Y,U,Y,54162,,0,,54162,,26692,,2659,,29351,,1585012,,3840472,,3477798,,362674,,,,8028,,7806,,8621,,2488,,2669,,274185,"Does not include all calls received after business hours",22,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.329,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202310,Y,P,N,62187,,0,,62187,,29385,,3048,,32433,,1551098,,3725047,,3371248,,353799,,,,8184,,8251,,9886,,2578,,3623,,302117,"Does not include all calls received after business hours",21,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.325,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202310,Y,U,Y,62187,,0,,62187,,29385,,3048,,32433,,1556905,,3738745,,3383694,,355051,,,,8184,,8251,,9886,,2578,,3623,,302117,"Does not include all calls received after business hours",21,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.325,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202311,Y,P,N,59164,,0,,59164,,25844,,2679,,28523,,1541560,,3686440,,3334024,,352416,,,,7684,,6466,,8528,,2130,,3934,,296120,"Does not include all calls received after business hours",25,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.362,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202311,Y,U,Y,59164,,0,,59164,,25844,,2679,,28523,,1546768,,3698378,,3344512,,353866,,,,7684,,6466,,8528,,2130,,3934,,296120,"Does not include all calls received after business hours",25,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.362,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202312,Y,P,N,54898,,0,,54898,,26017,,2866,,28883,,1530804,,3645743,,3296014,,349729,,,,6750,,6401,,8783,,2267,,4577,,274137,"Does not include all calls received after business hours",24,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.336,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202312,Y,U,Y,54898,,0,,54898,,26017,,2866,,28883,,1539190,,3664724,,3313240,,351484,,,,6750,,6401,,8783,,2267,,4577,,274137,"Does not include all calls received after business hours",24,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.336,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202401,Y,P,N,69334,,0,,69334,,31748,,3240,,34988,,1528500,,3619702,,3273517,,346185,,,,9456,,7978,,8802,,2808,,6287,,336707,"Does not include all calls received after business hours",26,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.352,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202401,Y,U,Y,69334,,0,,69334,,31748,,3240,,34988,,1532901,,3630553,,3284014,,346539,,,,9456,,7978,,8802,,2808,,6287,,336707,"Does not include all calls received after business hours",26,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.352,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202402,Y,P,N,58634,,0,,58634,,31529,,3292,,34821,,1519248,,3574589,,3233733,,340856,,,,9031,,6919,,7992,,2627,,8269,,291015,"Does not include all calls received after business hours",23,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.331,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202402,Y,U,Y,58634,,0,,58634,,31529,,3292,,34821,,1527482,,3596117,,3254491,,341626,,,,9031,,6919,,7992,,2627,,8269,,291015,"Does not include all calls received after business hours",23,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.331,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202403,Y,P,N,59460,,0,,59460,,36896,,4040,,40936,,1509060,,3526011,,3193071,,332940,,,,9622,,7560,,8058,,2774,,13198,,289602,"Does not include all calls received after business hours",19,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.299,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202403,Y,U,Y,59460,,0,,59460,,36896,,4040,,40936,,1515244,,3542797,,3208917,,333880,,,,9622,,7560,,8058,,2774,,13198,,289602,"Does not include all calls received after business hours",19,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.299,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202404,Y,P,N,63399,,0,,63399,,40670,,4363,,45033,,1481314,,3438447,,3130023,,308424,,,,10881,,8946,,9186,,2908,,14291,,316396,"Does not include all calls received after business hours",22,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.332,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202404,Y,U,Y,63399,,0,,63399,,40670,,4363,,45033,,1487790,,3461070,,3151868,,309202,,,,10881,,8946,,9186,,2908,,14291,,316396,"Does not include all calls received after business hours",22,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.332,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202405,Y,P,N,61652,,0,,61652,,36975,,3752,,40727,,1467044,,3379793,,3079684,,300109,,,,10537,,9539,,8008,,2002,,11363,,285798,"Does not include all calls received after business hours",20,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.303,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202405,Y,U,Y,61652,,0,,61652,,36975,,3752,,40727,,1473239,,3396187,,3095755,,300432,,,,10537,,9539,,8008,,2002,,11363,,285798,"Does not include all calls received after business hours",20,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.303,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202406,Y,P,N,57512,,0,,57512,,30699,,3010,,33709,,1453335,,3312187,,3019743,,292444,,,,8216,,8903,,7794,,2337,,7110,,197485,"Does not include all calls received after business hours",28,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.364,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202406,Y,U,Y,57512,,0,,57512,,30699,,3010,,33709,,1460758,,3332992,,3040669,,292323,,,,8216,,8903,,7794,,2337,,7110,,197485,"Does not include all calls received after business hours",28,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.364,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202407,Y,P,N,66004,,0,,66004,,34750,,3155,,37905,,1443565,,3263255,,2977480,,285775,,1819690,,8817,,10143,,9097,,2333,,7736,,357309,"Does not include all calls received after business hours",37,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.444,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202407,Y,U,Y,66004,,0,,66004,,34750,,3155,,37905,,1450722,,3283600,,2997607,,285993,,1832878,,8817,,10143,,9097,,2333,,7736,,357309,"Does not include all calls received after business hours",37,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.444,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202408,Y,P,N,64161,,0,,64161,,36858,,3690,,40548,,1441927,,3256089,,2969716,,286373,,1814162,,9527,,10643,,9972,,2374,,8599,,341896,"Does not include all calls received after business hours",32,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.408,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202408,Y,U,Y,64161,,0,,64161,,36858,,3690,,40548,,1449454,,3276274,,2989341,,286933,,1826820,,9527,,10643,,9972,,2374,,8599,,341896,"Does not include all calls received after business hours",32,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.408,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202409,Y,P,N,59466,,0,,59466,,33246,,3253,,36499,,1438975,,3248845,,2963083,,285762,,1809870,,8738,,8885,,9532,,2459,,6323,,329618,"Does not include all calls received after business hours",34,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.420,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202409,Y,U,Y,59466,,0,,59466,,33246,,3253,,36499,,1447486,,3271235,,2984941,,286294,,1823749,,8738,,8885,,9532,,2459,,6323,,329618,"Does not include all calls received after business hours",34,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.420,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202410,Y,P,N,55425,,0,,55425,,36687,,4009,,40696,,1437216,,3243413,,2957608,,285805,,1806197,,9996,,10012,,10466,,2737,,6736,,365772,"Does not include all calls received after business hours",37,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.442,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202410,Y,U,Y,55425,,0,,55425,,36687,,4009,,40696,,1442537,,3257417,,2971009,,286408,,1814880,,9996,,10012,,10466,,2737,,6736,,365772,"Does not include all calls received after business hours",37,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.442,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202411,Y,P,N,45682,,0,,45682,,28273,,3015,,31288,,1431565,,3223840,,2936525,,287315,,1792275,,8106,,7648,,7702,,1848,,5725,,285972,"Does not include all calls received after business hours",33,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.398,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202411,Y,U,Y,45682,,0,,45682,,28273,,3015,,31288,,1439513,,3242597,,2954294,,288303,,1803084,,8106,,7648,,7702,,1848,,5725,,285972,"Does not include all calls received after business hours",33,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.398,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202412,Y,P,N,48201,,0,,48201,,30818,,3417,,34235,,1428952,,3208484,,2918179,,290305,,1779532,,8012,,7668,,8969,,2664,,5766,,385533,"Does not include all calls received after business hours",26,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.372,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202412,Y,U,Y,48201,,0,,48201,,30818,,3417,,34235,,1438138,,3231378,,2940111,,291267,,1793240,,8012,,7668,,8969,,2664,,5766,,385533,"Does not include all calls received after business hours",26,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.372,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202501,Y,P,N,62552,,0,,62552,,40530,,4387,,44917,,1425173,,3191264,,2899135,,292129,,1766091,,12832,,9904,,8577,,3134,,11047,,407702,"Does not include all calls received after business hours",21,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.368,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202501,Y,U,Y,62552,,0,,62552,,40530,,4387,,44917,,1433357,,3211905,,2918728,,293177,,1778548,,12832,,9904,,8577,,3134,,11047,,407702,"Does not include all calls received after business hours",21,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.368,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202502,Y,P,N,47777,,0,,47777,,33983,,4082,,38065,,1416856,,3168689,,2874704,,293985,,1751833,,10782,,7022,,7399,,2321,,12634,,298852,"Does not include all calls received after business hours",20,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.341,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202502,Y,U,Y,47777,,0,,47777,,33983,,4082,,38065,,1427469,,3204871,,2908569,,296302,,1777402,,10782,,7022,,7399,,2321,,12634,,298852,"Does not include all calls received after business hours",20,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.341,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202503,Y,P,N,48376,,0,,48376,,42832,,5455,,48287,,1411258,,3166322,,2868206,,298116,,1755064,,12568,,7575,,7756,,2443,,21483,,314021,"Does not include all calls received after business hours",18,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.313,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202503,Y,U,Y,48376,,0,,48376,,42832,,5455,,48287,,1421827,,3194479,,2894353,,300126,,1772652,,12568,,7575,,7756,,2443,,21483,,314021,"Does not include all calls received after business hours",18,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.313,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
IL,Illinois,202504,Y,P,N,47604,,0,,47604,,39753,,4797,,44550,,1404730,,3146295,,2849911,,296384,,1741565,,12611,,8156,,7887,,2125,,13564,,259604,"Does not include all calls received after business hours",17,"Does not include all calls received after business hours; Includes only calls transferred to a live agent",0.227,"Does not include all calls received after business hours; Includes only calls transferred to a live agent"
